Kreis,count,mean_zust,median_zust,mean_age
LANDKREIS GREIZ,54,1.85,1.9,27.51851851851852
"EISENACH, STADT",54,2.011111111111111,2.0,50.96296296296296
Krefeld,51,2.3666666666666667,2.3,54.98039215686274
KFR. STADT KAISERSLAUTERN,49,2.122448979591837,2.0,35.51020408163265
Ulm,49,1.9387755102040816,2.0,48.0
Landkreis Elbe-Elster,49,2.173469387755102,2.2,19.693877551020407
Stadt Nürnberg,49,2.183673469387755,2.3,30.918367346938776
Stadt Regensburg,48,2.1687499999999997,2.0,35.125
Stadt Weiden i.d.OPf.,48,2.2729166666666667,2.4,40.416666666666664
Hamm,48,2.30625,2.3,42.541666666666664
Uelzen,47,2.2297872340425533,2.2,38.1063829787234
Landkreis Neuburg-Schrobenhausen,46,2.0521739130434784,2.05,36.80434782608695
Bottrop,45,2.368888888888889,2.4,43.2
KFR. STADT TRIER,45,2.188888888888889,2.0,45.86666666666667
Landkreis Dillingen a.d.Donau,44,2.2113636363636364,2.3,27.931818181818183
Delmenhorst,44,2.088636363636364,2.1,30.636363636363637
Stadt Ingolstadt,43,2.3627906976744186,2.4,49.13953488372093
KFR. STADT NEUSTADT/WEINSTRAßE,43,2.130232558139535,2.2,49.51162790697674
Frankfurt (Oder),43,2.2488372093023257,2.3,38.44186046511628
Kreisfreie Stadt Kassel,43,2.1116279069767443,2.1,41.13953488372093
Stadt Augsburg,42,2.2166666666666663,2.2,34.333333333333336
Stadt Coburg,42,2.111904761904762,2.0,34.642857142857146
KFR. STADT LANDAU (PFALZ),42,2.15,2.2,36.61904761904762
Stadt Flensburg,41,2.2560975609756095,2.3,44.31707317073171
Odenwaldkreis,41,1.8902439024390243,2.0,47.146341463414636
"Dessau-Rosslau, Stadt",41,2.3268292682926828,2.3,26.024390243902438
Altmarkkreis Salzwedel,41,2.451219512195122,2.4,28.70731707317073
UNSTRUT-HAINICH-KREIS,40,2.0725000000000002,2.0,32.275
Calw,40,2.0225,2.0,58.425
Celle,40,2.2,2.2,49.725
Stadt Bamberg,39,2.3461538461538463,2.3,45.53846153846154
Stadt Bayreuth,38,2.1894736842105265,2.0,23.710526315789473
Stadt Memmingen,38,2.2342105263157896,2.25,45.36842105263158
Pforzheim,38,1.905263157894737,2.0,24.342105263157894
"GERA, STADT",38,1.7,1.8,21.07894736842105
Lüchow-Dannenberg,38,2.1315789473684212,2.2,37.71052631578947
Stadt Würzburg,37,2.381081081081081,2.4,29.54054054054054
Wolfsburg,35,2.325714285714286,2.3,40.114285714285714
Stadt Ansbach,34,2.338235294117647,2.3,43.1764705882353
Remscheid,33,2.1151515151515152,2.3,46.96969696969697
Cottbus,33,2.2090909090909094,2.2,28.96969696969697
Kreisfreie Stadt Offenbach,31,2.596774193548387,2.7,49.41935483870968
Stadt Kempten (Allgäu),29,2.5620689655172413,2.7,50.03448275862069
Stadt Landshut,28,2.282142857142857,2.3,49.32142857142857
"Rostock, Hansestadt",28,2.257142857142857,2.3499999999999996,22.892857142857142
Stadt Amberg,27,2.237037037037037,2.1,38.25925925925926
Stadt Aschaffenburg,26,2.3923076923076922,2.4,31.384615384615383
Stadt Schweinfurt,25,2.2119999999999997,2.3,37.36
"Schwerin, Landeshauptstadt",25,2.408,2.4,27.56
Stadt Fürth,24,2.5166666666666666,2.7,47.833333333333336
"Halle (Saale), Stadt",24,2.2291666666666665,2.3,14.208333333333334
Brandenburg an der Havel,24,2.2708333333333335,2.25,33.583333333333336
"SUHL, STADT",23,2.008695652173913,2.0,21.695652173913043
Emden,23,2.382608695652174,2.3,41.82608695652174
LANDKREIS SONNEBERG,22,2.0,2.0,23.954545454545453
Landkreis Fürth,22,2.077272727272727,2.0,39.68181818181818
KFR. STADT ZWEIBRÜCKEN,21,2.1666666666666665,2.3,52.333333333333336
"JENA, STADT",21,1.8333333333333333,1.9,18.666666666666668
Stadt Schwabach,20,2.1849999999999996,2.3,17.6
"Magdeburg, Landeshauptstadt",20,2.465,2.3499999999999996,30.05
KFR. STADT PIRMASENS,19,2.005263157894737,2.0,26.63157894736842
Stadt Hof,19,2.3947368421052633,2.3,40.578947368421055
Wilhelmshaven,18,2.1444444444444444,2.3,40.77777777777778
Stadt Rosenheim,17,1.811764705882353,2.0,16.529411764705884
Stadt Neumünster,17,2.1,2.2,26.941176470588236
Potsdam,17,1.711764705882353,1.4,18.58823529411765
Stadt Straubing,16,1.90625,1.8,47.8125
Bundesrepublik Deutschland,15,2.246666666666667,2.0,51.86666666666667
Osterholz,15,2.2333333333333334,2.2,50.333333333333336
"WEIMAR, STADT",12,1.7666666666666666,1.85,33.583333333333336
